ID,Name,Type,Image,ImageSha,PublicExposed,Correlation,ClusterName,ClusterType,ProviderID,Region,Metadata
9a1070a8-896b-4dfc-b0f3-9151af907ef6,ecs-service-connect-o3DQRY,CONTAINER,,,true,"runtime_id:,task_arn:arn:aws:ecs:eu-west-2:822112283600:task/demo-php-eu-demo-ecs-Cluster-qr3szOyHM9v2/1e8449ff63854e999b8d1498020d25dc,private_ip:10.0.0.220,public_ips:[13.40.7.178]",demo-php-eu-demo-ecs-Cluster-qr3szOyHM9v2,ECS,aws,eu-west-2,
27bd77ed-71f1-4a84-a546-4e35fe174b80,php-demo-service,CONTAINER,822112283600.dkr.ecr.eu-west-2.amazonaws.com/demo-php/php-demo-service@sha256:7e83156e29ddb2ccca7dc1b7fc405c18ab8d1e71149cae5102252cd7d53abe7a,,true,"runtime_id:1e8449ff63854e999b8d1498020d25dc-1095789471,task_arn:arn:aws:ecs:eu-west-2:822112283600:task/demo-php-eu-demo-ecs-Cluster-qr3szOyHM9v2/1e8449ff63854e999b8d1498020d25dc,private_ip:10.0.0.220,public_ips:[13.40.7.178]",demo-php-eu-demo-ecs-Cluster-qr3szOyHM9v2,ECS,aws,eu-west-2,
ace339e6-c1ff-44d8-ae32-a29d4a12e251,nginx-container,CONTAINER,nginx:latest,,true,"runtime_id:1908f1f2c8cc46da92cf4501d8e0a3bc-4135852389,task_arn:arn:aws:ecs:us-east-1:822112283600:task/AST-83961-Fargate/1908f1f2c8cc46da92cf4501d8e0a3bc,private_ip:172.31.23.194,public_ips:[3.95.55.110]",AST-83961-Fargate,ECS,aws,us-east-1,
53c1a401-e76d-4d09-8f83-279ecb0d26c9,ecs-service-connect-60JfD,CONTAINER,,,true,"runtime_id:,task_arn:arn:aws:ecs:us-east-1:822112283600:task/AST-83961-Fargate/1908f1f2c8cc46da92cf4501d8e0a3bc,private_ip:172.31.23.194,public_ips:[3.95.55.110]",AST-83961-Fargate,ECS,aws,us-east-1,
800a577d-6ea9-476c-ba4f-a53e5d68449c,nginx-container-2,CONTAINER,nginx:latest,,true,"runtime_id:0f1315e4382349d6ab0827edb70a3445-0080399070,task_arn:arn:aws:ecs:us-east-2:822112283600:task/AST-83961-Fargate/0f1315e4382349d6ab0827edb70a3445,private_ip:172.31.37.158,public_ips:[13.58.94.253]",AST-83961-Fargate,ECS,aws,us-east-2,
